127,Spikes (On Beat),,
126,Shaker (On Beat),82,Shaker (hit)
125,Shaker (Off Beat),82,Shaker (hit)
124,Cabasa (On Beat),69,Cabasa (hit)
123,Caxixi (On Beat),,
122,Caxixi (Off Beat),,
121,Shells (On Beat),,
120,High Hat (Open),46,Hi-Hat (open)
119,High Hat (Closed),42,Hi-Hat (closed)
118,Ride (Mute Hit),94,Ride (choke)
117,Bells (SLeigh Large),,
116,Bells (SLeigh Small),,
115,FX Box (Dry FX 1),,
114,FX Box (Dry FX 2),,
113,FX Box (Castanets),,
112,FX Box (Whip Single),,
111,FX Box (Whip Flam),,
110,FX Box (Bell Tree),,
109,FX Box (Chimes),,
108,FX Box (Lightning),,
107,FX Box (Thunder 1),,
106,FX Box (Thunder 2),,
105,FX Box (Ratchet),,
104,FX Box (Vibraslap),58,Vibraslap (hit)
103,FX Box (Flexatone),,
102,FX Box (Rain Stick),,
101,FX Box (Ocean Side),,
100,FX Box (Ocean Sound),,
99,KD (D# Hi),35,Kick (hit)
98,KD (D Hi),35,Kick (hit)
97,KD (C# Hi),35,Kick (hit)
96,KD (C Hi),35,Kick (hit)
95,KD (B),35,Kick (hit)
94,KD (A#),35,Kick (hit)
93,KD (A),35,Kick (hit)
92,KD (G#),35,Kick (hit)
91,KD (G),35,Kick (hit)
90,KD (F#),35,Kick (hit)
89,KD (F),35,Kick (hit)
88,KD (E),35,Kick (hit)
87,KD (D# Low),35,Kick (hit)
86,KD (D Low),35,Kick (hit)
85,KD (C# Low),35,Kick (hit)
84,KD (C Low),35,Kick (hit)
83,KD (Mute Hit),35,Kick (hit)
82,Body Sounds (Stomps),,
81,Triangle (Open),81,Triangle (hit)
80,Triangle (Mute Hit),80,Triangle (mute)
79,Woodblock (Block 5),76,Woodblock high (hit)
78,Woodblock (Block 4),76,Woodblock high (hit)
77,Woodblock (Block 3),77,Woodblock low (hit)
76,Woodblock (Block 2),77,Woodblock low (hit)
75,Woodblock (Block 1),77,Woodblock low (hit)
74,Guiro (Long),73,Guiro (hit)
73,Guiro (Short),73,Guiro (hit)
72,Tribal (Bass Drum),,
71,Tribal (Boobam),,
70,Macaras (On Beat),118,Left Maraca (hit)
69,Macaras (Off Beat),119,Right Maraca (hit)
68,Body Sounds (Crowd Snaps),,
67,Body Sounds (Single Snaps),,
66,Body Sounds (Big Claps),39,Hand Clap (hit)
65,Hi Hat (Seq Hits),42,Hi-Hat (closed)
64,Hi Hat (Closed Edge),42,Hi-Hat (closed)
63,Hi Hat (Tight Tip),42,Hi-Hat (closed)
62,Hi Hat (Tight Edge),42,Hi-Hat (closed)
61,Hi Hat (Closed Tip),42,Hi-Hat (closed)
60,Hi Hat (Open 4),46,Hi-Hat (open)
59,Ride (Edge),93,Ride (edge)
58,Snaps (Hit),,
57,Cymbal 1 (Crash),49,Crash High (hit)
56,Cowbell (Hit),56,Cowbell medium (hit)
55,Cymbal 3 (Crash),49,Crash High (hit)
54,Tambourine (On Beat),54,Tambourine (hit)
53,Tambourine (Bell),54,Tambourine (hit)
52,Cymbal 1 (Crash),49,Crash High (hit)
51,Ride (Bow),93,Ride (edge)
50,Cymbal 2 (Mute Hit),98,Crash medium (choke)
49,Cymbal 2 (Crash),57,Crash medium (hit)
48,Racktom (Center),47,Mid Tom (hit)
47,Racktom (Center),47,Mid Tom (hit)
46,Hi Hat (Open 2),92,Hi-Hat (half)
45,Racktom (Center),47,Mid Tom (hit)
44,Hi Hat (Closed Pedal),42,Hi-Hat (closed)
43,Floortom (Center),41,Low Floor Tom (hit)
42,Hi Hat (Closed Tip),42,Hi-Hat (closed)
41,Floortom (Center),41,Low Floor Tom (hit)
40,SD (Fat),40,Electric Snare (hit)
39,Claps (Hit),39,Hand Clap (hit)
38,Snare (Center),38,Snare (hit)
37,Snare (Sidestick),37,Snare (side stick)
36,Kick,35,Kick (hit)
35,KD (Long),35,Kick (hit)
34,KD (Short),35,Kick (hit)
33,SD (Small),35,Kick (hit)
32,Percussion (Hit),114,Grancassa (hit)
31,Crashes (Hit),49,Crash High (hit)
30,FX Bell (Hit),83,Jingle Bell (hit) / Tinkle Bell (hit)
29,Cymbal 3 (Crash),49,Crash High (hit)
28,Cymbal 2 (Crash),57,Crash medium (hit)
27,Cymbal 1 (Crash),49,Crash High (hit)
26,Hi Hat (Open 3),46,Hi-Hat (open)
25,Hi Hat (Open 2),92,Hi-Hat (half)
24,Hi Hat (Open 1),92,Hi-Hat (half)
23,Hi Hat (Open Pedal),92,Hi-Hat (half)
22,Hi Hat (Closed Edge),42,Hi-Hat (closed)
21,Hi Hat (Closed Pedal),44,Pedal Hi-Hat (hit)
20,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
19,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
18,Hi Hat (Edge Trigger),42,Hi-Hat (closed)
17,Bells (Gliss Fast),83,Jingle Bell (hit) / Tinkle Bell (hit)
16,Bells (Gliss Slow),83,Jingle Bell (hit) / Tinkle Bell (hit)
15,Bells (Single 5),83,Jingle Bell (hit) / Tinkle Bell (hit)
14,Bells (Single 4),83,Jingle Bell (hit) / Tinkle Bell (hit)
13,Bells (Single 3),83,Jingle Bell (hit) / Tinkle Bell (hit)
12,Bells (Single 2),83,Jingle Bell (hit) / Tinkle Bell (hit)
11,Bells (Single 1),83,Jingle Bell (hit) / Tinkle Bell (hit)
10,Hi Hat (Closed Pedal),44,Pedal Hi-Hat (hit)
9,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
8,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
7,Hi Hat (Edge Trigger),42,Hi-Hat (closed)
6,Snare (Center),38,Snare (hit)
5,Snare (Sidestick),37,Snare (side stick)
4,Snare (Sidestick),37,Snare (side stick)
3,Tambourine,54,Tambourine (hit)
2,Shaker,82,Shaker (hit)
1,One Shot,39,Hand Clap (hit)
0,,,