127,Snare (Sidestick),37,Snare (side stick)
126,Snare (Rimshot),91,Snare (rim shot)
125,Snare (Center),38,Snare (hit)
124,Hi Hat (Open 5),46,Hi-Hat (open)
123,Hi Hat (Open 1),92,Hi-Hat (half)
122,Hi Hat (Closed Edge),42,Hi-Hat (closed)
121,Hi Hat (Open 3),46,Hi-Hat (open)
120,Hi Hat (Open 1),92,Hi-Hat (half)
119,Hi Hat (Closed Tip),42,Hi-Hat (closed)
118,Ride (Mute Hit),94,Ride (choke)
117,Ride (Bell),53,Ride (bell)
116,Ride (Bow),127,Ride (bell)
115,Ride (Edge),93,Ride (edge)
114,Ride (Bell),53,Ride (bell)
113,Ride (Bow),127,Ride (bell)
112,Ride (Bell),53,Ride (bell)
111,Ride (Bow),127,Ride (bell)
110,Ride (Edge),93,Ride (edge)
109,Ride (Bell),53,Ride (bell)
108,Ride (Bow),127,Ride (bell)
107,Cymbal 4 (Mute Hit),96,China (choke)
106,Cymbal 3 (Mute Hit),97,Crash high (choke)
105,Ride (Bell),53,Ride (bell)
104,Ride (Bow),127,Ride (bell)
103,Ride (Edge),93,Ride (edge)
102,Ride (Bell),53,Ride (bell)
101,Ride (Bow),127,Ride (bell)
100,Ride (Bell),53,Ride (bell)
99,Ride (Bow),127,Ride (bell)
98,Ride (Edge),93,Ride (edge)
97,Ride (Bell),53,Ride (bell)
96,Ride (Bow),127,Ride (bell)
95,Cymbal 2,57,Crash medium (hit)
94,Cymbal 1,57,Crash medium (hit)
93,Ride (Bell),53,Ride (bell)
92,Ride (Bow),127,Ride (bell)
91,Ride (Edge),93,Ride (edge)
90,Ride (Bell),53,Ride (bell)
89,Ride (Bow),127,Ride (bell)
88,Ride (Bell),53,Ride (bell)
87,Ride (Bow),127,Ride (bell)
86,Ride (Edge),93,Ride (edge)
85,Ride (Bell),53,Ride (bell)
84,Ride (Bow),127,Ride (bell)
83,Ride (Mute Hit),94,Ride (choke)
82,Racktom 1 (Rimshot),48,High Tom (hit)
81,Racktom 1 (Center),48,High Tom (hit)
80,Racktom 2 (Rimshot),47,Mid Tom (hit)
79,Racktom 2 (Center),47,Mid Tom (hit)
78,Racktom 3 (Rimshot),45,Low Tom (hit)
77,Racktom 3 (Center),45,Low Tom (hit)
76,Snare (Sidestick),37,Snare (side stick)
75,Floortom 1 (Rimshot),43,Very Low Tom (hit)
74,Floortom 1 (Center),43,Very Low Tom (hit)
73,Floortom 2 (Rimshot),41,Low Floor Tom (hit)
72,Floortom 2 (Center),41,Low Floor Tom (hit)
71,Snare (Rimshot),91,Snare (rim shot)
70,Snare (Center),38,Snare (hit)
69,Snare (Center),38,Snare (hit)
68,Snare (Center),38,Snare (hit)
67,Snare (Sidestick),37,Snare (side stick)
66,Snare (Center),38,Snare (hit)
65,Hi Hat (Seq Hits),42,Hi-Hat (closed)
64,Hi Hat (Closed Edge),42,Hi-Hat (closed)
63,Hi Hat (Tight Tip),42,Hi-Hat (closed)
62,Hi Hat (Tight Edge),42,Hi-Hat (closed)
61,Hi Hat (Closed Tip),42,Hi-Hat (closed)
60,Hi Hat (Open 4),46,Hi-Hat (open)
59,Ride (Edge),93,Ride (edge)
58,Cymbal 3 (Mute Hit),97,Crash high (choke)
57,Cymbal 3 (Crash),49,Crash High (hit)
56,Cymbal 1 (Mute Hit),98,Crash medium (choke)
55,Cymbal 1 (Crash),57,Crash medium (hit)
54,Cymbal 1 (Crash),57,Crash medium (hit)
53,Ride (Bell),53,Ride (bell)
52,Cymbal 4 (China),52,China (hit)
51,Ride (Bow),127,Ride (bell)
50,Cymbal 2 (Mute Hit),98,Crash medium (choke)
49,Cymbal 2 (Crash),57,Crash medium (hit)
48,Racktom 1 (Center),48,High Tom (hit)
47,Racktom 2 (Center),47,Mid Tom (hit)
46,Hi Hat (Open 2),92,Hi-Hat (half)
45,Racktom 2 (Center),47,Mid Tom (hit)
44,Hi Hat (Closed Pedal),44,Pedal Hi-Hat (hit)
43,Floortom 1 (Center),43,Very Low Tom (hit)
42,Hi Hat (Closed Tip),42,Hi-Hat (closed)
41,Floortom 2 (Center),41,Low Floor Tom (hit)
40,Snare (Rimshot),91,Snare (rim shot)
39,Snare (Center),38,Snare (hit)
38,Snare (Center),38,Snare (hit)
37,Snare (Sidestick),37,Snare (side stick)
36,Kick,36,Kick (hit)
35,Kick,35,Kick (hit)
34,Kick,35,Kick (hit)
33,Snare (Center),38,Snare (hit)
32,Cymbal 3 (Crash),49,Crash High (hit)
31,Cymbal 3 (Crash),49,Crash High (hit)
30,Cymbal 2 (Crash),57,Crash medium (hit)
29,Cymbal 2 (Crash),57,Crash medium (hit)
28,Cymbal 1 (Crash),57,Crash medium (hit)
27,Cymbal 1 (Crash),57,Crash medium (hit)
26,Hi Hat (Open 3),46,Hi-Hat (open)
25,Hi Hat (Open 2),92,Hi-Hat (half)
24,Hi Hat (Open 1),92,Hi-Hat (half)
23,Hi Hat (Open Pedal),92,Hi-Hat (half)
22,Hi Hat (Closed Edge),42,Hi-Hat (closed)
21,Hi Hat (Closed Pedal),44,Pedal Hi-Hat (hit)
20,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
19,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
18,Hi Hat (Edge Trigger),42,Hi-Hat (closed)
17,Hi Hat (Open 5),46,Hi-Hat (open)
16,Hi Hat (Open 4),46,Hi-Hat (open)
15,Hi Hat (Open 3),46,Hi-Hat (open)
14,Hi Hat (Open 2),92,Hi-Hat (half)
13,Hi Hat (Open 1),92,Hi-Hat (half)
12,Hi Hat (Open 1),92,Hi-Hat (half)
11,Hi Hat (Closed Tip),42,Hi-Hat (closed)
10,Hi Hat (Closed Pedal),44,Pedal Hi-Hat (hit)
9,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
8,Hi Hat (Tip Trigger),42,Hi-Hat (closed)
7,Hi Hat (Edge Trigger),42,Hi-Hat (closed)
6,Snare (Center),38,Snare (hit)
5,Snare (Sidestick),37,Snare (side stick)
4,Snare (Sidestick),37,Snare (side stick)
3,Tambourine,54,Tambourine (hit)
2,Shaker,82,Shaker (hit)
1,One Shot,39,Hand Clap (hit)
0,,,